Pembroke,"d3.hsl(282.857142857, 1, .5)"
Messenger,"d3.hsl(295.714285714, 1, .5)"
Peter,"d3.hsl(308.571428571, 1, .5)"
Bigot,"d3.hsl(321.428571429, 1, .5)"
Melun,"d3.hsl(334.285714286, 1, .5)"
Prince henry,"d3.hsl(347.142857143, 1, .5)"
name,color
King john,"d3.hsl(0, 1, .5)"
Chatillon,"d3.hsl(12.8571428571, 1, .5)"
Queen elinor,"d3.hsl(25.7142857143, 1, .5)"
Essex,"d3.hsl(38.5714285714, 1, .5)"
Bastard,"d3.hsl(51.4285714286, 1, .5)"
Robert,"d3.hsl(64.2857142857, 1, .5)"
Lady faulconbridge,"d3.hsl(77.1428571429, 1, .5)"
Gurney,"d3.hsl(90.0, 1, .5)"
Lewis,"d3.hsl(102.857142857, 1, .5)"
Arthur,"d3.hsl(115.714285714, 1, .5)"
Austria,"d3.hsl(128.571428571, 1, .5)"
Constance,"d3.hsl(141.428571429, 1, .5)"
King philip,"d3.hsl(154.285714286, 1, .5)"
Blanch,"d3.hsl(167.142857143, 1, .5)"
First citizen,"d3.hsl(180.0, 1, .5)"
French herald,"d3.hsl(192.857142857, 1, .5)"
English herald,"d3.hsl(205.714285714, 1, .5)"
Salisbury,"d3.hsl(218.571428571, 1, .5)"
Cardinal pandulph,"d3.hsl(231.428571429, 1, .5)"
Elinor,"d3.hsl(244.285714286, 1, .5)"
Hubert,"d3.hsl(257.142857143, 1, .5)"
First executioner,"d3.hsl(270.0, 1, .5)"
Pembroke,"d3.hsl(282.857142857, 1, .5)"
Messenger,"d3.hsl(295.714285714, 1, .5)"
Peter,"d3.hsl(308.571428571, 1, .5)"
Bigot,"d3.hsl(321.428571429, 1, .5)"
Melun,"d3.hsl(334.285714286, 1, .5)"
Prince henry,"d3.hsl(347.142857143, 1, .5)"
name,color
King john,"d3.hsl(0, 1, .5)"
Chatillon,"d3.hsl(12.8571428571, 1, .5)"
Queen elinor,"d3.hsl(25.7142857143, 1, .5)"
Essex,"d3.hsl(38.5714285714, 1, .5)"
Bastard,"d3.hsl(51.4285714286, 1, .5)"
Robert,"d3.hsl(64.2857142857, 1, .5)"
Lady faulconbridge,"d3.hsl(77.1428571429, 1, .5)"
Gurney,"d3.hsl(90.0, 1, .5)"
Lewis,"d3.hsl(102.857142857, 1, .5)"
Arthur,"d3.hsl(115.714285714, 1, .5)"
Austria,"d3.hsl(128.571428571, 1, .5)"
Constance,"d3.hsl(141.428571429, 1, .5)"
King philip,"d3.hsl(154.285714286, 1, .5)"
Blanch,"d3.hsl(167.142857143, 1, .5)"
First citizen,"d3.hsl(180.0, 1, .5)"
French herald,"d3.hsl(192.857142857, 1, .5)"
English herald,"d3.hsl(205.714285714, 1, .5)"
Salisbury,"d3.hsl(218.571428571, 1, .5)"
Cardinal pandulph,"d3.hsl(231.428571429, 1, .5)"
Elinor,"d3.hsl(244.285714286, 1, .5)"
Hubert,"d3.hsl(257.142857143, 1, .5)"
First executioner,"d3.hsl(270.0, 1, .5)"
Pembroke,"d3.hsl(282.857142857, 1, .5)"
Messenger,"d3.hsl(295.714285714, 1, .5)"
Peter,"d3.hsl(308.571428571, 1, .5)"
Bigot,"d3.hsl(321.428571429, 1, .5)"
Melun,"d3.hsl(334.285714286, 1, .5)"
Prince henry,"d3.hsl(347.142857143, 1, .5)"
