Sergeant,"d3.hsl(45.9574468085, 1, .5)"
King henry viii,"d3.hsl(53.6170212766, 1, .5)"
Queen katharine,"d3.hsl(61.2765957447, 1, .5)"
Surveyor,"d3.hsl(68.9361702128, 1, .5)"
Chamberlain,"d3.hsl(76.5957446809, 1, .5)"
Sands,"d3.hsl(84.2553191489, 1, .5)"
Lovell,"d3.hsl(91.914893617, 1, .5)"
Guildford,"d3.hsl(99.5744680851, 1, .5)"
Anne,"d3.hsl(107.234042553, 1, .5)"
Servant,"d3.hsl(114.893617021, 1, .5)"
First gentleman,"d3.hsl(122.553191489, 1, .5)"
Second gentleman,"d3.hsl(130.212765957, 1, .5)"
Vaux,"d3.hsl(137.872340426, 1, .5)"
Suffolk,"d3.hsl(145.531914894, 1, .5)"
Cardinal campeius,"d3.hsl(153.191489362, 1, .5)"
Gardiner,"d3.hsl(160.85106383, 1, .5)"
Old lady,"d3.hsl(168.510638298, 1, .5)"
Old lady:,"d3.hsl(176.170212766, 1, .5)"
Scribe,"d3.hsl(183.829787234, 1, .5)"
Crier,"d3.hsl(191.489361702, 1, .5)"
Griffith,"d3.hsl(199.14893617, 1, .5)"
Lincoln,"d3.hsl(206.808510638, 1, .5)"
Gentleman,"d3.hsl(214.468085106, 1, .5)"
Surrey,"d3.hsl(222.127659574, 1, .5)"
Cromwell,"d3.hsl(229.787234043, 1, .5)"
Third gentleman,"d3.hsl(237.446808511, 1, .5)"
Both,"d3.hsl(245.106382979, 1, .5)"
Katharine,"d3.hsl(252.765957447, 1, .5)"
Patience,"d3.hsl(260.425531915, 1, .5)"
Messenger,"d3.hsl(268.085106383, 1, .5)"
Capucius,"d3.hsl(275.744680851, 1, .5)"
Boy,"d3.hsl(283.404255319, 1, .5)"
Denny,"d3.hsl(291.063829787, 1, .5)"
Cranmer,"d3.hsl(298.723404255, 1, .5)"
Keeper,"d3.hsl(306.382978723, 1, .5)"
Doctor butts,"d3.hsl(314.042553191, 1, .5)"
Chancellor,"d3.hsl(321.70212766, 1, .5)"
All,"d3.hsl(329.361702128, 1, .5)"
Porter,"d3.hsl(337.021276596, 1, .5)"
Man,"d3.hsl(344.680851064, 1, .5)"
Garter,"d3.hsl(352.340425532, 1, .5)"
name,color
Buckingham,"d3.hsl(0, 1, .5)"
Norfolk,"d3.hsl(7.65957446809, 1, .5)"
Abergavenny,"d3.hsl(15.3191489362, 1, .5)"
Cardinal wolsey,"d3.hsl(22.9787234043, 1, .5)"
First secretary,"d3.hsl(30.6382978723, 1, .5)"
Brandon,"d3.hsl(38.2978723404, 1, .5)"
Sergeant,"d3.hsl(45.9574468085, 1, .5)"
King henry viii,"d3.hsl(53.6170212766, 1, .5)"
Queen katharine,"d3.hsl(61.2765957447, 1, .5)"
Surveyor,"d3.hsl(68.9361702128, 1, .5)"
Chamberlain,"d3.hsl(76.5957446809, 1, .5)"
Sands,"d3.hsl(84.2553191489, 1, .5)"
Lovell,"d3.hsl(91.914893617, 1, .5)"
Guildford,"d3.hsl(99.5744680851, 1, .5)"
Anne,"d3.hsl(107.234042553, 1, .5)"
Servant,"d3.hsl(114.893617021, 1, .5)"
First gentleman,"d3.hsl(122.553191489, 1, .5)"
Second gentleman,"d3.hsl(130.212765957, 1, .5)"
Vaux,"d3.hsl(137.872340426, 1, .5)"
Suffolk,"d3.hsl(145.531914894, 1, .5)"
Cardinal campeius,"d3.hsl(153.191489362, 1, .5)"
Gardiner,"d3.hsl(160.85106383, 1, .5)"
Old lady,"d3.hsl(168.510638298, 1, .5)"
Old lady:,"d3.hsl(176.170212766, 1, .5)"
Scribe,"d3.hsl(183.829787234, 1, .5)"
Crier,"d3.hsl(191.489361702, 1, .5)"
Griffith,"d3.hsl(199.14893617, 1, .5)"
Lincoln,"d3.hsl(206.808510638, 1, .5)"
Gentleman,"d3.hsl(214.468085106, 1, .5)"
Surrey,"d3.hsl(222.127659574, 1, .5)"
Cromwell,"d3.hsl(229.787234043, 1, .5)"
Third gentleman,"d3.hsl(237.446808511, 1, .5)"
Both,"d3.hsl(245.106382979, 1, .5)"
Katharine,"d3.hsl(252.765957447, 1, .5)"
Patience,"d3.hsl(260.425531915, 1, .5)"
Messenger,"d3.hsl(268.085106383, 1, .5)"
Capucius,"d3.hsl(275.744680851, 1, .5)"
Boy,"d3.hsl(283.404255319, 1, .5)"
Denny,"d3.hsl(291.063829787, 1, .5)"
Cranmer,"d3.hsl(298.723404255, 1, .5)"
Keeper,"d3.hsl(306.382978723, 1, .5)"
Doctor butts,"d3.hsl(314.042553191, 1, .5)"
Chancellor,"d3.hsl(321.70212766, 1, .5)"
All,"d3.hsl(329.361702128, 1, .5)"
Porter,"d3.hsl(337.021276596, 1, .5)"
Man,"d3.hsl(344.680851064, 1, .5)"
Garter,"d3.hsl(352.340425532, 1, .5)"
