Proculeius,"d3.hsl(326.666666667, 1, .5)"
Gallus,"d3.hsl(333.333333333, 1, .5)"
Seleucus,"d3.hsl(340.0, 1, .5)"
Guard,"d3.hsl(346.666666667, 1, .5)"
Clown,"d3.hsl(353.333333333, 1, .5)"
name,color
Philo,"d3.hsl(0, 1, .5)"
Cleopatra,"d3.hsl(6.66666666667, 1, .5)"
Mark antony,"d3.hsl(13.3333333333, 1, .5)"
Attendant,"d3.hsl(20.0, 1, .5)"
Demetrius,"d3.hsl(26.6666666667, 1, .5)"
Charmian,"d3.hsl(33.3333333333, 1, .5)"
Alexas,"d3.hsl(40.0, 1, .5)"
Soothsayer,"d3.hsl(46.6666666667, 1, .5)"
Domitius enobarbus,"d3.hsl(53.3333333333, 1, .5)"
Iras,"d3.hsl(60.0, 1, .5)"
Messenger,"d3.hsl(66.6666666667, 1, .5)"
First attendant,"d3.hsl(73.3333333333, 1, .5)"
Second attendant,"d3.hsl(80.0, 1, .5)"
Second messenger,"d3.hsl(86.6666666667, 1, .5)"
Octavius caesar,"d3.hsl(93.3333333333, 1, .5)"
Lepidus,"d3.hsl(100.0, 1, .5)"
Mardian,"d3.hsl(106.666666667, 1, .5)"
Pompey,"d3.hsl(113.333333333, 1, .5)"
Menecrates,"d3.hsl(120.0, 1, .5)"
Menas,"d3.hsl(126.666666667, 1, .5)"
Varrius,"d3.hsl(133.333333333, 1, .5)"
Mecaenas,"d3.hsl(140.0, 1, .5)"
Agrippa,"d3.hsl(146.666666667, 1, .5)"
Octavia,"d3.hsl(153.333333333, 1, .5)"
Attendants,"d3.hsl(160.0, 1, .5)"
First servant,"d3.hsl(166.666666667, 1, .5)"
Second servant,"d3.hsl(173.333333333, 1, .5)"
Ventidius,"d3.hsl(180.0, 1, .5)"
Silius,"d3.hsl(186.666666667, 1, .5)"
Eros,"d3.hsl(193.333333333, 1, .5)"
Canidius,"d3.hsl(200.0, 1, .5)"
Soldier,"d3.hsl(206.666666667, 1, .5)"
Taurus,"d3.hsl(213.333333333, 1, .5)"
Scarus,"d3.hsl(220.0, 1, .5)"
All,"d3.hsl(226.666666667, 1, .5)"
Dolabella,"d3.hsl(233.333333333, 1, .5)"
Euphronius,"d3.hsl(240.0, 1, .5)"
Thyreus,"d3.hsl(246.666666667, 1, .5)"
First soldier,"d3.hsl(253.333333333, 1, .5)"
Second soldier,"d3.hsl(260.0, 1, .5)"
Third soldier,"d3.hsl(266.666666667, 1, .5)"
Fourth soldier,"d3.hsl(273.333333333, 1, .5)"
Captain,"d3.hsl(280.0, 1, .5)"
First guard,"d3.hsl(286.666666667, 1, .5)"
Second guard,"d3.hsl(293.333333333, 1, .5)"
Third guard,"d3.hsl(300.0, 1, .5)"
Dercetas,"d3.hsl(306.666666667, 1, .5)"
Diomedes,"d3.hsl(313.333333333, 1, .5)"
Egyptian,"d3.hsl(320.0, 1, .5)"
Proculeius,"d3.hsl(326.666666667, 1, .5)"
Gallus,"d3.hsl(333.333333333, 1, .5)"
Seleucus,"d3.hsl(340.0, 1, .5)"
Guard,"d3.hsl(346.666666667, 1, .5)"
Clown,"d3.hsl(353.333333333, 1, .5)"
name,color
Philo,"d3.hsl(0, 1, .5)"
Cleopatra,"d3.hsl(6.66666666667, 1, .5)"
Mark antony,"d3.hsl(13.3333333333, 1, .5)"
Attendant,"d3.hsl(20.0, 1, .5)"
Demetrius,"d3.hsl(26.6666666667, 1, .5)"
Charmian,"d3.hsl(33.3333333333, 1, .5)"
Alexas,"d3.hsl(40.0, 1, .5)"
Soothsayer,"d3.hsl(46.6666666667, 1, .5)"
Domitius enobarbus,"d3.hsl(53.3333333333, 1, .5)"
Iras,"d3.hsl(60.0, 1, .5)"
Messenger,"d3.hsl(66.6666666667, 1, .5)"
First attendant,"d3.hsl(73.3333333333, 1, .5)"
Second attendant,"d3.hsl(80.0, 1, .5)"
Second messenger,"d3.hsl(86.6666666667, 1, .5)"
Octavius caesar,"d3.hsl(93.3333333333, 1, .5)"
Lepidus,"d3.hsl(100.0, 1, .5)"
Mardian,"d3.hsl(106.666666667, 1, .5)"
Pompey,"d3.hsl(113.333333333, 1, .5)"
Menecrates,"d3.hsl(120.0, 1, .5)"
Menas,"d3.hsl(126.666666667, 1, .5)"
Varrius,"d3.hsl(133.333333333, 1, .5)"
Mecaenas,"d3.hsl(140.0, 1, .5)"
Agrippa,"d3.hsl(146.666666667, 1, .5)"
Octavia,"d3.hsl(153.333333333, 1, .5)"
Attendants,"d3.hsl(160.0, 1, .5)"
First servant,"d3.hsl(166.666666667, 1, .5)"
Second servant,"d3.hsl(173.333333333, 1, .5)"
Ventidius,"d3.hsl(180.0, 1, .5)"
Silius,"d3.hsl(186.666666667, 1, .5)"
Eros,"d3.hsl(193.333333333, 1, .5)"
Canidius,"d3.hsl(200.0, 1, .5)"
Soldier,"d3.hsl(206.666666667, 1, .5)"
Taurus,"d3.hsl(213.333333333, 1, .5)"
Scarus,"d3.hsl(220.0, 1, .5)"
All,"d3.hsl(226.666666667, 1, .5)"
Dolabella,"d3.hsl(233.333333333, 1, .5)"
Euphronius,"d3.hsl(240.0, 1, .5)"
Thyreus,"d3.hsl(246.666666667, 1, .5)"
First soldier,"d3.hsl(253.333333333, 1, .5)"
Second soldier,"d3.hsl(260.0, 1, .5)"
Third soldier,"d3.hsl(266.666666667, 1, .5)"
Fourth soldier,"d3.hsl(273.333333333, 1, .5)"
Captain,"d3.hsl(280.0, 1, .5)"
First guard,"d3.hsl(286.666666667, 1, .5)"
Second guard,"d3.hsl(293.333333333, 1, .5)"
Third guard,"d3.hsl(300.0, 1, .5)"
Dercetas,"d3.hsl(306.666666667, 1, .5)"
Diomedes,"d3.hsl(313.333333333, 1, .5)"
Egyptian,"d3.hsl(320.0, 1, .5)"
Proculeius,"d3.hsl(326.666666667, 1, .5)"
Gallus,"d3.hsl(333.333333333, 1, .5)"
Seleucus,"d3.hsl(340.0, 1, .5)"
Guard,"d3.hsl(346.666666667, 1, .5)"
Clown,"d3.hsl(353.333333333, 1, .5)"
name,color
Philo,"d3.hsl(0, 1, .5)"
Cleopatra,"d3.hsl(6.66666666667, 1, .5)"
Mark antony,"d3.hsl(13.3333333333, 1, .5)"
Attendant,"d3.hsl(20.0, 1, .5)"
Demetrius,"d3.hsl(26.6666666667, 1, .5)"
Charmian,"d3.hsl(33.3333333333, 1, .5)"
Alexas,"d3.hsl(40.0, 1, .5)"
Soothsayer,"d3.hsl(46.6666666667, 1, .5)"
Domitius enobarbus,"d3.hsl(53.3333333333, 1, .5)"
Iras,"d3.hsl(60.0, 1, .5)"
Messenger,"d3.hsl(66.6666666667, 1, .5)"
First attendant,"d3.hsl(73.3333333333, 1, .5)"
Second attendant,"d3.hsl(80.0, 1, .5)"
Second messenger,"d3.hsl(86.6666666667, 1, .5)"
Octavius caesar,"d3.hsl(93.3333333333, 1, .5)"
Lepidus,"d3.hsl(100.0, 1, .5)"
Mardian,"d3.hsl(106.666666667, 1, .5)"
Pompey,"d3.hsl(113.333333333, 1, .5)"
Menecrates,"d3.hsl(120.0, 1, .5)"
Menas,"d3.hsl(126.666666667, 1, .5)"
Varrius,"d3.hsl(133.333333333, 1, .5)"
Mecaenas,"d3.hsl(140.0, 1, .5)"
Agrippa,"d3.hsl(146.666666667, 1, .5)"
Octavia,"d3.hsl(153.333333333, 1, .5)"
Attendants,"d3.hsl(160.0, 1, .5)"
First servant,"d3.hsl(166.666666667, 1, .5)"
Second servant,"d3.hsl(173.333333333, 1, .5)"
Ventidius,"d3.hsl(180.0, 1, .5)"
Silius,"d3.hsl(186.666666667, 1, .5)"
Eros,"d3.hsl(193.333333333, 1, .5)"
Canidius,"d3.hsl(200.0, 1, .5)"
Soldier,"d3.hsl(206.666666667, 1, .5)"
Taurus,"d3.hsl(213.333333333, 1, .5)"
Scarus,"d3.hsl(220.0, 1, .5)"
All,"d3.hsl(226.666666667, 1, .5)"
Dolabella,"d3.hsl(233.333333333, 1, .5)"
Euphronius,"d3.hsl(240.0, 1, .5)"
Thyreus,"d3.hsl(246.666666667, 1, .5)"
First soldier,"d3.hsl(253.333333333, 1, .5)"
Second soldier,"d3.hsl(260.0, 1, .5)"
Third soldier,"d3.hsl(266.666666667, 1, .5)"
Fourth soldier,"d3.hsl(273.333333333, 1, .5)"
Captain,"d3.hsl(280.0, 1, .5)"
First guard,"d3.hsl(286.666666667, 1, .5)"
Second guard,"d3.hsl(293.333333333, 1, .5)"
Third guard,"d3.hsl(300.0, 1, .5)"
Dercetas,"d3.hsl(306.666666667, 1, .5)"
Diomedes,"d3.hsl(313.333333333, 1, .5)"
Egyptian,"d3.hsl(320.0, 1, .5)"
Proculeius,"d3.hsl(326.666666667, 1, .5)"
Gallus,"d3.hsl(333.333333333, 1, .5)"
Seleucus,"d3.hsl(340.0, 1, .5)"
Guard,"d3.hsl(346.666666667, 1, .5)"
Clown,"d3.hsl(353.333333333, 1, .5)"
