Pisanio,"d3.hsl(54.0, 1, .5)"
First lord,"d3.hsl(63.0, 1, .5)"
Cloten,"d3.hsl(72.0, 1, .5)"
Second lord,"d3.hsl(81.0, 1, .5)"
Lady,"d3.hsl(90.0, 1, .5)"
Iachimo,"d3.hsl(99.0, 1, .5)"
Philario,"d3.hsl(108.0, 1, .5)"
Frenchman,"d3.hsl(117.0, 1, .5)"
First lady,"d3.hsl(126.0, 1, .5)"
Cornelius,"d3.hsl(135.0, 1, .5)"
Messenger,"d3.hsl(144.0, 1, .5)"
Caius lucius,"d3.hsl(153.0, 1, .5)"
Lords,"d3.hsl(162.0, 1, .5)"
Belarius,"d3.hsl(171.0, 1, .5)"
Guiderius,"d3.hsl(180.0, 1, .5)"
Arviragus,"d3.hsl(189.0, 1, .5)"
Attendant,"d3.hsl(198.0, 1, .5)"
First senator,"d3.hsl(207.0, 1, .5)"
First tribune,"d3.hsl(216.0, 1, .5)"
Second senator,"d3.hsl(225.0, 1, .5)"
Captain,"d3.hsl(234.0, 1, .5)"
Soothsayer,"d3.hsl(243.0, 1, .5)"
Lord,"d3.hsl(252.0, 1, .5)"
First captain,"d3.hsl(261.0, 1, .5)"
Second captain,"d3.hsl(270.0, 1, .5)"
First gaoler,"d3.hsl(279.0, 1, .5)"
Second gaoler,"d3.hsl(288.0, 1, .5)"
Sicilius leonatus,"d3.hsl(297.0, 1, .5)"
Mother,"d3.hsl(306.0, 1, .5)"
First brother,"d3.hsl(315.0, 1, .5)"
Second brother,"d3.hsl(324.0, 1, .5)"
Jupiter,"d3.hsl(333.0, 1, .5)"
All,"d3.hsl(342.0, 1, .5)"
Posthumus leonatus,"d3.hsl(351.0, 1, .5)"
