Ely,"d3.hsl(8.0, 1, .5)"
King henry v,"d3.hsl(16.0, 1, .5)"
Exeter,"d3.hsl(24.0, 1, .5)"
Westmoreland,"d3.hsl(32.0, 1, .5)"
First ambassador,"d3.hsl(40.0, 1, .5)"
Bardolph,"d3.hsl(48.0, 1, .5)"
Nym,"d3.hsl(56.0, 1, .5)"
Pistol,"d3.hsl(64.0, 1, .5)"
Hostess,"d3.hsl(72.0, 1, .5)"
Boy,"d3.hsl(80.0, 1, .5)"
Bedford,"d3.hsl(88.0, 1, .5)"
Scroop,"d3.hsl(96.0, 1, .5)"
Cambridge,"d3.hsl(104.0, 1, .5)"
Grey,"d3.hsl(112.0, 1, .5)"
King of france,"d3.hsl(120.0, 1, .5)"
Dauphin,"d3.hsl(128.0, 1, .5)"
Constable,"d3.hsl(136.0, 1, .5)"
Messenger,"d3.hsl(144.0, 1, .5)"
Fluellen,"d3.hsl(152.0, 1, .5)"
Gower,"d3.hsl(160.0, 1, .5)"
Jamy,"d3.hsl(168.0, 1, .5)"
Macmorris,"d3.hsl(176.0, 1, .5)"
Governor,"d3.hsl(184.0, 1, .5)"
Katharine,"d3.hsl(192.0, 1, .5)"
Alice,"d3.hsl(200.0, 1, .5)"
Bourbon,"d3.hsl(208.0, 1, .5)"
Montjoy,"d3.hsl(216.0, 1, .5)"
Gloucester,"d3.hsl(224.0, 1, .5)"
Orleans,"d3.hsl(232.0, 1, .5)"
Rambures,"d3.hsl(240.0, 1, .5)"
Erpingham,"d3.hsl(248.0, 1, .5)"
Court,"d3.hsl(256.0, 1, .5)"
Bates,"d3.hsl(264.0, 1, .5)"
Williams,"d3.hsl(272.0, 1, .5)"
Grandpre,"d3.hsl(280.0, 1, .5)"
Salisbury,"d3.hsl(288.0, 1, .5)"
York,"d3.hsl(296.0, 1, .5)"
French soldier,"d3.hsl(304.0, 1, .5)"
Warwick,"d3.hsl(312.0, 1, .5)"
Herald,"d3.hsl(320.0, 1, .5)"
Queen isabel,"d3.hsl(328.0, 1, .5)"
Burgundy,"d3.hsl(336.0, 1, .5)"
French king,"d3.hsl(344.0, 1, .5)"
All,"d3.hsl(352.0, 1, .5)"
name,color
Canterbury,"d3.hsl(0, 1, .5)"
Ely,"d3.hsl(8.0, 1, .5)"
King henry v,"d3.hsl(16.0, 1, .5)"
Exeter,"d3.hsl(24.0, 1, .5)"
Westmoreland,"d3.hsl(32.0, 1, .5)"
First ambassador,"d3.hsl(40.0, 1, .5)"
Bardolph,"d3.hsl(48.0, 1, .5)"
Nym,"d3.hsl(56.0, 1, .5)"
Pistol,"d3.hsl(64.0, 1, .5)"
Hostess,"d3.hsl(72.0, 1, .5)"
Boy,"d3.hsl(80.0, 1, .5)"
Bedford,"d3.hsl(88.0, 1, .5)"
Scroop,"d3.hsl(96.0, 1, .5)"
Cambridge,"d3.hsl(104.0, 1, .5)"
Grey,"d3.hsl(112.0, 1, .5)"
King of france,"d3.hsl(120.0, 1, .5)"
Dauphin,"d3.hsl(128.0, 1, .5)"
Constable,"d3.hsl(136.0, 1, .5)"
Messenger,"d3.hsl(144.0, 1, .5)"
Fluellen,"d3.hsl(152.0, 1, .5)"
Gower,"d3.hsl(160.0, 1, .5)"
Jamy,"d3.hsl(168.0, 1, .5)"
Macmorris,"d3.hsl(176.0, 1, .5)"
Governor,"d3.hsl(184.0, 1, .5)"
Katharine,"d3.hsl(192.0, 1, .5)"
Alice,"d3.hsl(200.0, 1, .5)"
Bourbon,"d3.hsl(208.0, 1, .5)"
Montjoy,"d3.hsl(216.0, 1, .5)"
Gloucester,"d3.hsl(224.0, 1, .5)"
Orleans,"d3.hsl(232.0, 1, .5)"
Rambures,"d3.hsl(240.0, 1, .5)"
Erpingham,"d3.hsl(248.0, 1, .5)"
Court,"d3.hsl(256.0, 1, .5)"
Bates,"d3.hsl(264.0, 1, .5)"
Williams,"d3.hsl(272.0, 1, .5)"
Grandpre,"d3.hsl(280.0, 1, .5)"
Salisbury,"d3.hsl(288.0, 1, .5)"
York,"d3.hsl(296.0, 1, .5)"
French soldier,"d3.hsl(304.0, 1, .5)"
Warwick,"d3.hsl(312.0, 1, .5)"
Herald,"d3.hsl(320.0, 1, .5)"
Queen isabel,"d3.hsl(328.0, 1, .5)"
Burgundy,"d3.hsl(336.0, 1, .5)"
French king,"d3.hsl(344.0, 1, .5)"
All,"d3.hsl(352.0, 1, .5)"
name,color
Canterbury,"d3.hsl(0, 1, .5)"
Ely,"d3.hsl(8.0, 1, .5)"
King henry v,"d3.hsl(16.0, 1, .5)"
Exeter,"d3.hsl(24.0, 1, .5)"
Westmoreland,"d3.hsl(32.0, 1, .5)"
First ambassador,"d3.hsl(40.0, 1, .5)"
Bardolph,"d3.hsl(48.0, 1, .5)"
Nym,"d3.hsl(56.0, 1, .5)"
Pistol,"d3.hsl(64.0, 1, .5)"
Hostess,"d3.hsl(72.0, 1, .5)"
Boy,"d3.hsl(80.0, 1, .5)"
Bedford,"d3.hsl(88.0, 1, .5)"
Scroop,"d3.hsl(96.0, 1, .5)"
Cambridge,"d3.hsl(104.0, 1, .5)"
Grey,"d3.hsl(112.0, 1, .5)"
King of france,"d3.hsl(120.0, 1, .5)"
Dauphin,"d3.hsl(128.0, 1, .5)"
Constable,"d3.hsl(136.0, 1, .5)"
Messenger,"d3.hsl(144.0, 1, .5)"
Fluellen,"d3.hsl(152.0, 1, .5)"
Gower,"d3.hsl(160.0, 1, .5)"
Jamy,"d3.hsl(168.0, 1, .5)"
Macmorris,"d3.hsl(176.0, 1, .5)"
Governor,"d3.hsl(184.0, 1, .5)"
Katharine,"d3.hsl(192.0, 1, .5)"
Alice,"d3.hsl(200.0, 1, .5)"
Bourbon,"d3.hsl(208.0, 1, .5)"
Montjoy,"d3.hsl(216.0, 1, .5)"
Gloucester,"d3.hsl(224.0, 1, .5)"
Orleans,"d3.hsl(232.0, 1, .5)"
Rambures,"d3.hsl(240.0, 1, .5)"
Erpingham,"d3.hsl(248.0, 1, .5)"
Court,"d3.hsl(256.0, 1, .5)"
Bates,"d3.hsl(264.0, 1, .5)"
Williams,"d3.hsl(272.0, 1, .5)"
Grandpre,"d3.hsl(280.0, 1, .5)"
Salisbury,"d3.hsl(288.0, 1, .5)"
York,"d3.hsl(296.0, 1, .5)"
French soldier,"d3.hsl(304.0, 1, .5)"
Warwick,"d3.hsl(312.0, 1, .5)"
Herald,"d3.hsl(320.0, 1, .5)"
Queen isabel,"d3.hsl(328.0, 1, .5)"
Burgundy,"d3.hsl(336.0, 1, .5)"
French king,"d3.hsl(344.0, 1, .5)"
All,"d3.hsl(352.0, 1, .5)"
